text,label
mini market sale of good and other food product in store,4711
sale of cosmetic product body lotion shampoo,4772
retail sale of good and other food product in store oil seasoning onion,4711
retail sale of good and other food product in store sale of bread milk tink and oil,4711
grain milling grain milling such a maizerice and mellet,1061
retail sale of good and other food product in store onion oil rice,4711
provision shop retail sale of good like green tea ataya sugar oil sardine candiesetc good like green tea ataya sugar oil sardine candiesetc,4711
mentenancing or repairing of tyirs repairing of tyirs,4520
manufacturing of bakery bread making of bread tapalapa,1071
repairing and maintenance of bicycle and donkey cart repairing and maintenance of bicycle and donkey cart,9529
retail sale of good and other food product in store rice suger ataya,4711
sale of good and other food product in store selling of food and drink like breadbiscuits milk and softdrinks,4711
retail sale of good and other food product in store sale of ataya suger oil,4711
sale of good and other food product in store bread milkonions ect,4711
food and bererage service activity restaurant and food service activity,5610
retail sale of good and other food product in store sale of oil palm oil onion,4711
wholesale and retail sale of boabab wholesale and retail sale of boabab,0230
sale of good and other food product sugercigarettes bread ect,4711
manufacture of bakary product manufacture of bread,1071
tv repairing shop retailing of consumer electronic,9521
retail sale of good like biscuit chip green tea ataya sugar vegetable oiletc good like biscuit chip green tea ataya sugar vegetable oiletc,4711
retail sale of food and beverage rice sugar breadonion soft drink biscuit,4711
retail sale of good like rice oil and bread good like rice oil and breadetc,4711
retail sale of good like rice vegetable oil bread candiesetc good like rice vegetable oil bread candiesetc,4711
retail sale of good like vegetable oil green tea ataya biscuit tinned milk sardinesetc good like vegetable oil green tea ataya biscuit tinned milk sardinesetc,4711
retail sale of food and beverage bread rice sugar milk onion cooking oil,4711
retail sale of food like omelette boiled egg boiled irish potato bread teaetc food like omelette boiled egg boiled irish potato bread teaetc,5610
retail sale of good like rice vegetable oil sugar green tea ataya sardine tinned milketc good like rice vegetable oil sugar green tea ataya sardine tinned milketc,4711
retail sale cosmetic product sale perfume body lotion and shampoo,4772
retail sale of good like rice oil sugar green tea ataya soapetc good like rice oil sugar green tea ataya soapetc,4711
retail sale in non specialized store with food other retail sale in non specialized store,4719
retail sale of good and other food product in store sale of rice suger oil,4711
retail sale of good like rice vegetable oil tinned milk biscuit candiesetc good like rice vegetable oil tinned milk biscuit candiesetc,4711
provision shop sale of good like green tea ataya tinned milk candiesetc good like green tea ataya tinned milk candiesetc,4711
bakery baked of bread tapa lapa,1071
retail sale of good and other food product in store sale of bread milk rice,4711
retail sale of good like rice vegetable oil sugar green tea ataya palm oil onion candy good like rice vegetable oil sugar green tea ataya palm oil onion candy,4711
manufacture of bread baking bread,4721
grain milling store milling of mellets and maize,1061
retail sale off food and other food stuff the retail selling of bread onion vegetable oil etc,4711
retail sale of good and other food product in store sale of suger rice onion,4711
retail sale of good and other food product in store sale of suger ataya and onion,4711
retail sale of good and other food product in store sale of ataya suger rice,4711
the selling of food tea bread egg chicken and chip,5610
retail sale of textile textile selling men and womens clothing material,4751
manufacture of wearing apparel except fur apparel manufacture of wearing apparel except fur apparel,1410
retail sale of good and other food product in store oil bread,4711
grinding people millet to produce flour producing flour,1061
quranic school quranic school,8549
animal production raising chicken and salls in retail,0146
selling of good and other food product milk tin breadetc,4711
welding shop welding workshop,2511
retail sale of good and other food product in store sale of bread,4711
tailoring shopsewing clothes and textile sewn clothes,1410
retail sale of food and beverage jimbo ataya bread sugar,4711
repairing and maintenancing motorcycle repairing and maintenancing motorcycle,4540
manufacturing bread bread,1071
manufacturing of metal door and wndows manufacture of structural material product,2511
manufacture of funiture manufacture of wooden builder carpentry and joinery,1622
retail sale of motorcycle part sale of motorcycle engine oil break and padlock,4540
retail sale of food and beverage rice sugar bread onion cooking oil,4711
retail sale of good like rice vegetable oil candiesetc and other food product in store retail sale in nonspecialised store with food beverage or tobacco predominating,4711
wholesale trade of good like rice oil sugar sardine tinned milk onion cigarettesetc good like rice oil sugar sardine tinned milk onion cigarettesetc,4630
retail sale of good like rice oil and other food product rice oil and other food product,4711
tailoring manufacture of wearing apparel manufactured wearing apparel,1410
retail sale of food and beverage bread mill cooking oil maggi and other food stuff,4711
retail sale of good and other food product in store sale of rice onion suger ataya,4711
retail sale of good and other food product in store mustard bread onion,4711
retail sale of good and other food product in store bread butter mayornais,4711
retail sale of good and other food product in store sale of onion rice suger,4711
retail sale of food and beverage bread rice sugar biscuit sardine black teaataya,4711
retail sale of good and other food product in store sale of bread ataya pampers and like,4711
baking of bread bread making,1071
bicycle repairing and maintenancing bicycle repairing and maintenancing,9529
retail sale of good and other food product in store sale of ataya rice flor oil,4711
wholesale sale of building material selling of pipe wilbarrow corrigateb,4663
wholesale of building material sale of pipe rope,4663
retail sale of good and other food product in store bread milk tin soapn,4711
retail sale of food and beverage rice sugar bread candy onion biscuit cooking oil,4711
retail sale of food and beverage sugar milk bread ataya cooking oil,4711
wholesale of buying and selling groundnut groundnut,4620
retail sale of good and other food product in store rice oilbiscuitswater etc,4711
retail sale of mobile phone and accessory retail sale of mobile phone and accessory,4741
retail sale of good and other food product in store biscuit cindyscandles etc,4711
manufacture of bread product manufacturing of bread fresh pastry good and cake,1071
retail sale of new clothes and shoe retail sale of new clothes and shoe,4771
coo milling machine grain milling production of flour groat and meal,1061
provision shop retail sale of good like rice sugar bread green tea ataya milketc good like rice sugar bread green tea ataya milketc,4711
carpentry workshop manufacture of furniture for bedroom living roomsetc,3100
production of wearing appraisal sewingof cloth,1410
retail sale of food and beverage water soft drink egg bread onion etc,4711
retail sale of good and other food product in store bread onion,4711
grain milling manufacture of flour groatsetc flour groat,1061
welding workshop manufacture of metal door window and their frame metal door window and their frame,2511
grain milling store milling of ricemaize and mellets,1061
retail sale of good and other food product in store sale of bread rice onion,4711
grain milling milling of ricemaize and mellets,1061
retail sale of good and other food product in store sale of bread rice and oil,4711
retail sale of good and other food product in store seling of ricesuger,4711
retail sale of food and beverage bread sugar milk rice candy biscuit sardine,4711
sewing of clothes and textile sewing of clothes such a dress etc,1410
milling machine manufacture of ground coo ground coo or millet,1061
retail sale in non specialized store retail sale in non specialized store like bread milk sugar and other food product,4711
retail sale of good like sardine milk and other food product good like sardine milk and other food product,4711
retail sale of good like rice vegetable oil palm oil sugar green tea ataya sardinesetc good like rice vegetable oil palm oil sugar green tea ataya sardinesetc,4711
retail sale of good and other food product in store sale of ketchup bread milk tin,4711
retail sale of good like rice vegetable oil candiesetc and other food product in store good like rice vegetable oil and food product,4711
provision shop retail sale of good like rice sugar sardine tinned milk sardine oiletc good like rice sugar sardine tinned milk sardine oiletc,4711
retail sale of provision like rice vegetable oil green tea ataya sugar candiesetc provision like rice vegetable oil green tea ataya sugar candiesetc,4711
retail sale of good and other food product in store bread milk ataya,4711
selling breakfast and dinner bread coffee sardine boiled egg omelette,5610
buchery shop retail sale of and meat product including poultry,4721
sale of good and other food product in store sorw milkspaghetticooking oil etc,4711
retail salls of textile retail sale of textile in specialized store,4751
retail sale of food productsegsugar attayasweets retail sale of food product beverage or tobacco product,4711
retail sale of good and other food product in store sale of suger rice milk flour,4711
retail sale in non specialized store with food other retail sale in non specialized store,4722
retail sale of good and other food product in store sale of palm oiloil suger,4711
cement store retail retail sale of other building material such a cement,4752
raising of sheep and goat raising of sheep and goat,0144
grain milling milling of maize and mellet,1061
manufacture of bakery product manufacture of bread,1071
retail sale of good and other food product in store sale of rice onion suger,4711
retail sale of food and beverage onion maggi salt,4711
sewn clothes manufacture of wearing apparel except fur apparel,1410
welding of carstooleyea maintenance and repair of motor vehicle,4520
retail sale of food and beverage soft drink sugar rice cooking oil milk sardine valentine,4711
retail sale of good and other food product in store sale of suger ataya oil,4711
manufacturing of home furniture production of bed chair and other furniture,3100
motorcycle repairing and maintenance repairing and maintenancing of motorcycle,4540
retail sale in non specialized store with food salls of good and food product in store,4711
provision shop retail sale of good like rice oil sugar sardine tinned milketc good like rice oil sugar sardine tinned milketc,4711
retail sale of good and other food product in store sale of bread oil suger ataya,4711
restaurant and mobile food service activity preparing meal breakfast and dinner,5610
retail sale of good and other food product in store sale of rice suger soap,4711
hairdressing hairdressing and beauty treatment,9602
selling of cosmetic retail sale of cosmetic and beauty product,4772
retail sale of textile in specialised store retail sale of footwear and product,4751
cosmetic retail salls retail salls of cosmetic,4772
manufacturing and repairing farming implement manufactured and repaired farming implement,2599
milling store milling of maize and mellets,1061
retail sale of good and other food product in store ataya rice oil,4711
repairing of motorcycle maintenance and repair of motorcycle and related part and accessory,4540
maintenance and repair of motor vehicle repairing of motor car and lorry,4520
retail sale in non specialized store with food salls of good and food product in store,4722
tailoring workshop manufacturing wearing apparel like men outfit and womens dress wearing apparel like men outfit and womens dress,1410
retail sale of good and other food product in store bread suger,4711
retail sale of good and other food product in store biscuit milk,4711
manufacture of clothes and fabric to design and sew clothes mainly men wear,1410
hair treatment haircut hair treatment for dreadlock and hair relaxing,9602
retail sale of good like cement paint corrugated iron sheetsetc good like cement paint corrugated iron sheetsetc,4752
retail sale of uniform fabric selling of uniform fabric,4751
provision shop wholesale of good like rice oil sugar green tea ataya tinned milketc good like rice oil sugar green tea ataya tinned milketc,4630
retail sale of food and beverage the selling of bread sugar cooking oil biscuit etc,4711
retail sale of food and beverage cooking oil bread sardine soft drink milk onion water,4711
repairing of bicycle bicycle repairing,9529
lodge short term accommodation activity lodge short term accommodation activity,5510
eatery steamed fish cooked bean spaghetti bread tea ovaltineetc steamed fish cooked bean spaghetti bread tea ovaltineetc,5610
the selling of breakfast bread and bean bread,5610
retail sale of good and other food product in store selling of bread suger milk,4711
retail sale of good like vegetable oil onion green tea ataya candiesetc good like vegetable oil onion green tea ataya candiesetc,4711
retail sale of good and other food product in store good like bread milk and tea,4711
retail sell of food product the selling of bread rice cooking oil and other food stuff,4711
retail sale of good and other food product in store selling of rice suger onion,4711
retail sale of food and beverage sugar rice onion bread sardine egg ataya cooking oil,4711
production of bread baking of bread,1071
selling of car part and lubricant car part and lubricant,4530
retail sell of food product rice sugar bread onion and other food product,4711
manufacturing of bread product manufacturing of bread,1071
head office management and control the branch,7010
retail sale of mobile phone and charger sale of mobile phone and charger,4741
retail sale of cosmetic product sale of perfume body lotion and shampoo,4772
retail sale of good and other food product in store selling of bread rice oil,4711
retail sell of drug drug,4772
retail sale of car part car battery car bulb lubricant,4530
retail sell of food product selling of bread onion cooking oil and other food product,4711
retail sale of motocycle equipment selling of moto cycle tier lap,4540
retail sale of food and beverage sugar rice cooking oil ataya milk sardine,4711
retail sale of good and other food product in store selling of bread rice onion beverage,4711
provision shop wholesale trade of good like rice flour oil green tea ataya sugaretc good like rice flour oil green tea ataya sugaretc,4630
retail sale of chicken selling chicken,0146
retail sale of good and other food product in store selling of ataya suger onion,4711
retail sale cooking oil plam oil onion rice sugar plam oil cooking oil onion rice sugar bread,4711
repairing of moto cycle fixing and repairing of motor cycle,4540
retail sale of food and beverage bread rice sugar cooking oil candy,4711
retail sale of mobile phone accessory like cover protector charger batteryetc mobile phone accessory like cover protector charger batteryetc,4741
bicycle repairing bicycle maintenancing and repairing,9529
retail sale of good and other food product in store good like rice sugar breadetc,4711
grain milling store milling of rice maize and mellet,1061
retail of good and food product in store retail of good and food product like bread sugar rice etc,4711
retail sale of good like rice sugar green tea ataya sardine vegetable oil candiesetc good like rice sugar green tea ataya sardine vegetable oil candiesetc,4711
retail of good and food product in store retail sale in non specialized like bread sugar milk and other food product,4722
retail sale of vegetable in store sale of onion tomato garlic,4721
retail sale of food and beverage sugarrice onion bread sardine egg,4711
retail sale of good and other food product good like rice sugar breadetc,4711
retail sale of good and other food product in store sardine milk suger ect,4711
retail sale of food and beverage good like sugar bread cooking oil onion juse milk,4711
retail sale of good and other food product in store sale of rice bread,4711
retail sale of good and other food product in store sale of rice oil and bread,4711
manufacture of grain milling product milling of corn coo millet,1061
retail sale good and food product bread rice cooking oil and other food product,4711
milling store milling of grain such a maize mellets and rice,1061
retail sale of food item drink and tobacco product good like rice sugar breadetc,4711
retail sale of good and other food product in store retail salls of good and food like bread sugar milk and other product,4711
retail sale of good and food product in store sale of breadbutter and like,4711
provision shop retail sale of good like rice oil sugar green tea tinned milketc good like rice oil sugar green tea tinned milketc,4711
retail sale of good like vegetable oil palm oil green tea ataya sugar good like vegetable oil palm oil green tea ataya sugar,4711
general merchandise shop retail sale of good and other food product,4721
cosmetic shop retail sale of cosmetic product body oilssprays soap shampoo etc,4772
milling store grind milling of maize production,1061
retail sale of good and other food product in store salt baby daipers etc,4711
grain millingcoos and rice milling of rice coo to powder,1061
arabic private school arabic school teaching of people,8521
retail sale of food and other provision salling of food like rice bread sugar milk and like,4711
accounting service outsourcing intel audit accounting support service and training on accounting software etc,6920
retail sale of good and basic food product corner shop good and food product,4711
sale fast food fast food,5610
sale of good and other food product retail sale of food product ex mike mayonnaise sugar and omg,4711
retail sale of good and food product retail sale of bag f rice gallon of cooking oil palm oil spice powdered milk onion potat,4711
retail sale of food product water beverage and other variety of item food product water beverage and other variety of item,4711
retail selling of bag and shoe bag and shoe,4771
retail sale of food item and other non food item onion oil rice etc,4711
retail sale of food and beverage rice sugar bread cooking oil soft drink sardine ataya,4711
sewing of clothes and textile manufacture of wearing apparel,1410
retail sale of non specialize good groundnut bitter nut fire wood,4719
barbing salon hair cut beard trimming,9602
sale of good sale of good and other food product,4711
retail sale of good and other food product in store selling of milk sardine suger,4711
manufacture of clothes and textile sewn clothes,1410
retail sale of sour milk retail sale of milk and other dairy product,4721
retail sale of building material and electrical equipment light and rate,4752
manufacturing window and door glass manufacture of door and window,2310
sale of good and other food product retail sale of food product ex mike mayonnaise sugar and water rice,4711
retail sale of good and other food product in store seling of rice onion suger,4711
retail sale of good and other food product in store selling of rice suger onion oil,4711
retail sale of good and other food product in store retail sale of sardine milk tin padlock ect,4711
threshing the villager mown rice threshed rice,0163
retail sale of good and other food product in store selling of bread rice onion suger,4711
retail sale of good and other food product in store retail sale in non specialized like bread sugar milk and other food product,4711
pharmaceutical company management and administrative work,7010
pharmacy retail sale of medical drug,4772
pharmacy sale of medical good,4772
drug store sale of medical good,4772
drug store retail sale of medical good,4772
pharmacy wholesale and retail sale of medical good,4772
pharmacy retail sale of medical good,4772
banking service management,7010
banking service saving and credit,6419
super market management and administrative work,7010
supermarket retail sale of good,4711
super market retail sale of food and non food item,4711
supermarket sale of food and non food item,4711
supermarket sale of foid and non food item,4711
supermatket sale of food and non food item,4711
electronics shop management of the business,7010
electronic shop whole sale retail of electrical appliance,4759
electronics shop whole retail sale of electrical appliance,4759
retail sale of food and beverage in store ricesugar onion candy biscuit sardine bread cooking oil,4711
retail sale of good and other food product in store seasoningsjumbo oil tomato paste attaya,4711
office activity management,7010
wholesale of spare part cycle and motorcycle spare part,4659
whole sale and retail foodstuff,4721
management management,7010
photocopying and printing of document photocopying and printing,8219
money transfer and foreign exchange money transfer and foreign exchange,6419
retail sale of beverage tobacco and other food product selling of beverage tobacco and other food product,4711
provision of security service security,8010
head office management,7010
it base and food commodity information technology,6209
head office activity management,7010
internet and it related service internetwireless provider,6120
internet and it related service internetwireless,6120
managementsales of cosmetic and beautician sale of cosmetic and beautician,7010
hair dressing salon beautician,9602
education skill training center,8522
education skill,8522
hair dressing beautician,9602
sa beauty and health banjul,4772
retail sale of daily good food and beverage,4711
medical laboratory laboratory test,8690
medical laboratory test laboratory test,8690
football video club live streaming of football game,9329
manufacturing and repairing of hoe charcoal stove seedersetc hoe charcoal stove seedersetc,2599
retail sale of cloth selling of cloth eg trouser top tshirts,4751
retail sale of pesticide and agrochemical product spryers seed pesticide,4773
retail sale of mobile accessory retail sale of mobile accessory such a mobile coverschargers,4741
retail sale of good and other food product in store attayasweets detergent retail sale of in non specialised store with food beverage or tobacco product,4711
video club video club show casing video movie and sport game,5914
manufacture of metal tool manufacture of tool such a hoesaxes,2593
